Title,Harga,Harga Asli,Diskon,Terjual,Rating,Lokasi
HG MIGHTY STRIKE FREEDOM 1/144 Gunpla Gundam Model Kit Original Bandai,Rp650.000,,,,,Jakarta Barat
MR COLOR GX METAL RED GOLD 209 CAT GUNDAM AIRBRUSH MODEL KIT MG HG PG,Rp45.000,,,,,Surabaya
MR COLOR GX METAL BLUE GOLD 210 CAT GUNDAM AIRBRUSH MODEL KIT MG HG,Rp45.000,,,2 terjual,5.0,Surabaya
MR CLEAR COLOR GOLD GX111 CAT GUNDAM MODEL KIT MG HG PG,Rp45.000,,,2 terjual,5.0,Surabaya
MR CRYSTAL COLOR DIAMOND SILVER XC01 CAT GUNDAM MODEL KIT MG HG PG,Rp45.000,,,4 terjual,4.7,Surabaya
HG WfM Gundvolva Gundam The Witch from Mercury HGWFM,Rp242.050,,,100+ terjual,5.0,Kab. Bantul
HGCE 1/144 HG Rising Freedom Gundam,Rp400.000,Rp450.000,,60+ terjual,5.0,Surabaya
Stand Base Action Figure Gundam 1/144 HG RG,Rp11.440,Rp13.000,,8rb+ terjual,4.9,Kab. Bekasi
HG / HGCE 1/144 RISING FREEDOM GUNDAM,Rp390.000,,,60+ terjual,4.9,Semarang
Stand Base Action Figure Gundam BB SD SDW SDCS HG RG 1/144,Rp18.000,,,2rb+ terjual,4.9,Kab. Bekasi
MR COLOR GX METAL VIOLET 207 CAT GUNDAM AIRBRUSH MODEL KIT MG HG PG,Rp45.000,,,3 terjual,5.0,Surabaya
HOBBYMIO EASY CUTTING MASKING TEMPLATE - HOBBY MIO TOOLS GUNDAM MG HG,Rp155.000,,,50+ terjual,5.0,Kab. Bandung
MR CLEAR COLOR ORANGE GX106 CAT GUNDAM MODEL KIT AIRBRUSH MG HG PG,Rp45.000,,,3 terjual,5.0,Surabaya
HG GRENDIZLER MAZINGER HIGH GRADE 1/144 ORIGINAL BANDAI GUNPLA GUNDAM MODEL KIT,Rp760.000,,,,,Jakarta Barat
MR COLOR ORANGE FLUORESCENT C173 CAT GUNDAM MODEL KIT MG HG PG,Rp26.500,,,1 terjual,,Surabaya
HG 1/144 Rising Freedom Gundam Seed Freedom Original Bandai,Rp425.000,,,16 terjual,4.8,Kab. Tangerang
Water Slide Decal HG HGCE RG Aile Strike Gundam 1/144,Rp48.000,,,100+ terjual,4.9,Arisu Online Shop
Mikro Led Gundam untuk Gunpla SD/HG/RG/MG,Rp5.500,,,2rb+ terjual,5.0,Kab. Bogor
Action Base Gundam Black Stand Base 2 Gunpla SD HG RG 1/144,Rp41.000,Rp45.000,,500+ terjual,4.9,Arisu Online Shop
HG Mighty Strike Freedom Gundam,Rp575.000,,,21 terjual,4.9,Surabaya
HG THE ORIGIN 1/144 RX-78-2 GUNDAM,Rp360.000,,,25 terjual,5.0,Semarang
HG GUNDAM AERIAL - THE WITCH FROM MERCURY,Rp408.000,,,250+ terjual,5.0,Kab. Bandung
Stand Base Action Figure Gundam SD HG RG MG 1/144 1/100 (SB101),Rp60.000,,,250+ terjual,4.9,Kab. Bekasi
Stand Base Action Base Figure Gundam Gunpla SD HG RG 1/144 Clear Black,Rp12.500,Rp16.000,,2rb+ terjual,4.9,Arisu Online Shop
HG Unicorn Gundam Phenex Unicorn Mode Narrative Ver Gold Coating HGUC,Rp660.000,,,16 terjual,5.0,Jakarta Selatan
Figure Pokemon Monster Collection MC-112 Megayanma japan import Ori,Rp85.440,Rp89.000,,,,Bekasi
GODHAND GOD HAND SPN120 ULTIMATE NIPPER GUNDAM MODEL KIT MG HG PG,Rp890.000,Rp900.000,,6 terjual,5.0,Surabaya
Box Display Akrilik LED Acrylic Custom,Rp1.000,,,500rb+ terjual,5.0,Kab. Banyumas
KOMPRESOR COMPRESSOR AIRBRUSH SPARMAX ARISM MINI GRAY GUNDAM MG HG PG,Rp2.000.000,,,,,Surabaya
Box Display Akrilik LED Acrylic,Rp130.000,,,24 terjual,5.0,Kab. Banyumas
